CaptureDate,CaptureTime,LinkID,VehicleGroup,PatchType,Duration,Observations,,,,,,,,
2011/1/2,34500,1309,1002,0,309,12,,,,,,,,
2011/1/2,34800,1309,1002,0,328,13,,,,,,,,
2011/1/2,35100,1309,1002,0,299,14,,,,,,,,
2011/1/2,35400,1309,1002,0,330,21,,,,,,,,
2011/1/2,35700,1309,1002,0,325,26,,,,,,,,
2011/1/2,36000,1309,1002,0,333,15,,,,,,,,
2011/1/2,36300,1309,1002,0,319,19,,,,,,,,
2011/1/2,36600,1309,1002,0,324,24,,,,,,,,
2011/1/2,36900,1309,1002,0,326,25,,,,,,,,
2011/1/2,37200,1309,1002,0,356,13,,,,,,,,
2011/1/2,37500,1309,1002,0,332,29,,,,,,,,
2011/1/2,37800,1309,1002,0,328,30,,,,,,,,
2011/1/2,38100,1309,1002,0,365,27,,,,,,,,
2011/1/2,38400,1309,1002,0,339,25,,,,,,,,
2011/1/2,38700,1309,1002,0,342,31,,,,,,,,
2011/1/2,39000,1309,1002,0,353,32,,,,,,,,
2011/1/2,39300,1309,1002,0,359,26,,,,,,,,
2011/1/2,39600,1309,1002,0,353,31,,,,,,,,
2011/1/2,39900,1309,1002,0,350,27,,,,,,,,
2011/1/2,40200,1309,1002,0,350,39,,,,,,,,
2011/1/2,40500,1309,1002,0,326,28,,,,,,,,
2011/1/2,40800,1309,1002,0,354,41,,,,,,,,
2011/1/2,41100,1309,1002,0,362,37,,,,,,,,
2011/1/2,41400,1309,1002,0,358,42,,,,,,,,
2011/1/2,41700,1309,1002,0,347,37,,,,,,,,
2011/1/2,42000,1309,1002,0,391,33,,,,,,,,
2011/1/2,42300,1309,1002,0,338,33,,,,,,,,
2011/1/2,42600,1309,1002,0,355,29,,,,,,,,
2011/1/2,42900,1309,1002,0,357,43,,,,,,,,
2011/1/2,43200,1309,1002,0,381,38,,,,,,,,
2011/1/2,43500,1309,1002,0,365,42,,,,,,,,
2011/1/2,43800,1309,1002,0,363,32,,,,,,,,
2011/1/2,44100,1309,1002,0,346,26,,,,,,,,
2011/1/2,44400,1309,1002,0,371,43,,,,,,,,
2011/1/2,44700,1309,1002,0,389,38,,,,,,,,
2011/1/2,45000,1309,1002,0,405,39,,,,,,,,
2011/1/2,45300,1309,1002,0,368,34,,,,,,,,
2011/1/2,45600,1309,1002,0,386,35,,,,,,,,
2011/1/2,45900,1309,1002,0,408,34,,,,,,,,
2011/1/2,46200,1309,1002,0,388,38,,,,,,,,
2011/1/2,46500,1309,1002,0,395,44,,,,,,,,
2011/1/2,46800,1309,1002,0,385,38,,,,,,,,
2011/1/2,47100,1309,1002,0,385,49,,,,,,,,
2011/1/2,47400,1309,1002,0,390,41,,,,,,,,
2011/1/2,47700,1309,1002,0,365,45,,,,,,,,
2011/1/2,48000,1309,1002,0,385,49,,,,,,,,
2011/1/2,48300,1309,1002,0,363,52,,,,,,,,
2011/1/2,48600,1309,1002,0,370,55,,,,,,,,
2011/1/2,48900,1309,1002,0,371,38,,,,,,,,
2011/1/2,49200,1309,1002,0,353,30,,,,,,,,
2011/1/2,49500,1309,1002,0,368,30,,,,,,,,
2011/1/2,49800,1309,1002,0,344,49,,,,,,,,
